Ticker,HTML Count,CIK
FDO,0,No CIK Found
KVUE,9,0001944048
CTSH,42,0001058290
FLIR,0,No CIK Found
SHW,42,0000089800
MCHP,42,0000827054
FRC,0,0001132979
VTR,42,0000740260
HIG,42,0000874766
FTR,0,No CIK Found
MU,42,0000723125
TXT,42,0000217346
GAS,0,No CIK Found
ACGL,42,0000947484
APD,42,0000002969
GMCR,0,No CIK Found
HD,42,0000354950
FIS,42,0001136893
HAR,0,No CIK Found
IPG,42,0000051644
NDSN,42,0000072331
HCBK,0,No CIK Found
UNP,42,0000100885
AMAT,42,0000006951
HOT,0,No CIK Found
LLY,42,0000059478
WBD,42,0001437107
HSP,0,No CIK Found
FOX,26,0001754301
JNPR,42,0001043604
ILG,0,No CIK Found
ERIE,42,0000922621
NTAP,42,0001002047
INFO,0,No CIK Found
FICO,42,0000814547
MSI,42,0000068505
JOY,0,No CIK Found
AKAM,42,0001086222
SBAC,42,0001034054
KRFT,0,No CIK Found
WAB,42,0000943452
REGN,42,0000872589
KSU,0,No CIK Found
RSG,42,0001060391
IR,32,0001699150
LLL,0,0001546383
ENPH,42,0001463101
AWK,42,0001410636
LLTC,0,No CIK Found
EXR,42,0001289490
HAL,42,0000045012
LM,0,No CIK Found
MRNA,26,0001682852
IQV,42,0001478242
LO,0,No CIK Found
VST,33,0001692819
EW,42,0001099800
LVLT,0,No CIK Found
LMT,42,0000936468
MJN,0,No CIK Found
TYL,42,0000860731
CI,26,0001739940
MNK,0,No CIK Found
PPL,42,0000922224
EQT,42,0000033213
MON,8,0001828325
ANSS,42,0001013462
EPAM,42,0001352010
MRO,40,0000101778
SLB,42,0000087347
CRL,42,0001100682
MXIM,0,No CIK Found
CSGP,42,0001057352
EL,42,0001001250
MYL,0,No CIK Found
JKHY,41,0000779152
LKQ,42,0001065696
NBL,0,No CIK Found
WFC,42,0000072971
CRWD,25,0001535527
NE,11,0001895262
WYNN,42,0001174922
PSX,42,0001534701
NFX,0,No CIK Found
MRK,42,0000310158
JNJ,42,0000200406
NLSN,32,0001492633
INVH,34,0001687229
QCOM,42,0000804328
PBCT,0,No CIK Found
LNT,42,0000352541
BAC,42,0000070858
PCL,0,No CIK Found
CF,42,0001324404
IT,42,0000749251
PCP,0,No CIK Found
DHI,42,0000882184
LW,34,0001679273
PETM,0,No CIK Found
LHX,41,0000202058
FE,42,0001031296
PLL,15,0001728205
IRM,42,0001020569
TPL,18,0001811074
POM,0,0001877971
TSLA,42,0001318605
DGX,42,0001022079
PX,15,0001841968
CRM,42,0001108524
EQR,42,0000906107
PXD,38,0001038357
HBAN,42,0000049196
COST,42,0000909832
QCP,0,No CIK Found
FDS,42,0001013237
ED,42,0001047862
QEP,0,No CIK Found
BAX,42,0000010456
DHR,42,0000313616
RAI,0,No CIK Found
GOOGL,39,0001652044
HSIC,42,0001000228
RHT,0,No CIK Found
WEC,42,0000783325
ALB,42,0000915913
RTN,0,No CIK Found
MOS,42,0001285785
WM,42,0000823768
SBNY,0,0001288784
ICE,42,0001571949
STX,42,0001137789
SCG,0,No CIK Found
LVS,42,0001300514
STLD,42,0001022671
SE,0,0001703399
CCL,42,0000815097
TMO,42,0000097745
SIAL,0,No CIK Found
AIZ,42,0001267238
PHM,42,0000822416
SIVB,33,0000719739
MSFT,42,0000789019
TGT,42,0000027419
SNDK,2,0002023554
ALL,42,0000899051
META,42,0001326801
SNI,0,No CIK Found
BSX,42,0000885725
FAST,42,0000815556
SPLS,0,No CIK Found
ELV,42,0001156039
SWK,42,0000093556
SRCL,40,0000861878
MOH,42,0001179929
ABBV,42,0001551152
STI,13,0001881551
AFL,42,0000004977
OTIS,21,0001781335
STJ,0,No CIK Found
MCD,42,0000063908
RMD,42,0000943819
SWN,39,0000007332
AJG,42,0000354190
WTW,42,0001140536
SWY,0,No CIK Found
IFF,42,0000051253
PGR,42,0000080661
TE,6,0001992243
HPE,39,0001645590
CEG,14,0001868275
TEG,0,No CIK Found
EFX,42,0000033185
MET,42,0001099219
TFCF,0,No CIK Found
COR,42,0001140859
EQIX,42,0001101239
TFCFA,0,No CIK Found
LYB,42,0001489393
TDG,42,0001260221
TIF,0,No CIK Found
NFLX,42,0001065280
VTRS,22,0001792044
TSS,0,No CIK Found
PNR,42,0000077360
KEY,42,0000091576
TWC,0,No CIK Found
ACN,41,0001467373
CINF,42,0000020286
TWTR,31,0001418091
COO,42,0000711404
AEP,42,0000004904
TWX,0,No CIK Found
CHRW,42,0001043277
COF,42,0000927628
VAL,42,0000314808
LYV,42,0001335258
VMC,42,0001396009
VAR,0,No CIK Found
ALGN,42,0001097149
HSY,42,0000047111
VIAB,0,No CIK Found
T,42,0000732717
HPQ,42,0000047217
VSM,0,No CIK Found
GEN,41,0000849399
ORCL,41,0001341439
WCG,0,No CIK Found
CBRE,42,0001138118
CHTR,42,0001091667
WFM,0,No CIK Found
DUK,42,0001326160
TAP,42,0000024545
WIN,0,No CIK Found
NUE,42,0000073309
FFIV,42,0001048695
WRK,23,0001732845
MCK,42,0000927653
A,42,0001090872
XEC,0,No CIK Found
DELL,37,0001571996
AIG,42,0000005272
XL,24,0001772720
EBAY,42,0001065088
DPZ,42,0001286681
XLNX,0,No CIK Found
WY,42,0000106535
F,42,0000037996
YHOO,0,No CIK Found
NTRS,42,0000073124
O,42,0000726728
RF,42,0001281761
CFG,42,0000759944
STE,25,0001757898
AEE,42,0001002910
PYPL,40,0001633917
DRI,41,0000940944
NRG,42,0001013871
CMG,42,0001058090
IBM,42,0000051143
WST,42,0000105770
ADP,42,0000008670
PEG,42,0000788784
MKC,42,0000063754
CMI,42,0000026172
AMD,42,0000002488
MHK,42,0000851968
KDP,42,0001418135
HRL,42,0000048465
PG,42,0000080424
INCY,42,0000879169
BXP,42,0001037540
XOM,42,0000034088
USB,42,0000036104
SO,42,0000092122
KMX,42,0001170010
LRCX,42,0000707549
CHD,42,0000313927
FOXA,26,0001754301
DTE,42,0000936340
BLDR,42,0001316835
NDAQ,42,0001120193
JBHT,42,0000728535
SMCI,35,0001375365
CPAY,42,0001175454
VRSK,42,0001442145
PFG,42,0001126328
TER,42,0000097210
ROP,42,0000882835
KKR,42,0001404912
AME,42,0001037868
XEL,42,0000072903
RJF,42,0000720005
KMB,42,0000055785
COIN,17,0001679788
SPG,42,0001063761
DLTR,42,0000935703
TJX,42,0000109198
ROL,42,0000084839
SBUX,42,0000829224
YUM,42,0001041061
CMS,42,0000811156
PH,42,0000076334
ROK,42,0001024478
MDLZ,42,0001103982
PCAR,42,0000075362
MDT,41,0001613103
EVRG,28,0001711269
SYF,42,0001601712
ABT,42,0000001800
ADM,42,0000007084
AMP,42,0000820027
OMC,42,0000029989
WDAY,42,0001327811
NEE,42,0000753308
NOW,42,0001373715
CSX,42,0000277948
CARR,21,0001783180
AZO,42,0000866787
PAYC,42,0001590955
MPC,42,0001510295
KR,41,0000056873
FCX,42,0000831259
DOW,25,0001751788
UDR,42,0000074208
WMB,42,0000107263
RTX,42,0000101829
TRV,42,0000086312
BALL,42,0000009389
GPC,42,0000040987
HON,42,0000773840
WBA,41,0001618921
BA,42,0000012927
APA,17,0001841666
FTNT,42,0001262039
GE,42,0000040545
ESS,42,0000920522
HLT,42,0001585689
PAYX,41,0000723531
INTU,42,0000896878
DD,31,0001666700
CPB,42,0000016732
BEN,42,0000038777
APO,13,0001858681
WDC,42,0000106040
BIIB,42,0000875045
APH,42,0000820313
GL,42,0000320335
VICI,31,0001705696
NVDA,42,0001045810
JCI,42,0000833444
NEM,42,0001164727
AMGN,42,0000318154
DOV,42,0000029905
CTVA,25,0001755672
BG,6,0001996862
UAL,42,0000100517
PWR,42,0001050915
UNH,42,0000731766
ZTS,42,0001555280
HES,42,0000004447
LEN,42,0000920760
AVB,42,0000915912
LDOS,41,0001336920
GM,42,0001467858
DIS,25,0001744489
WAT,42,0001000697
DE,42,0000315189
NOC,42,0001133421
IDXX,42,0000874716
DASH,18,0001792789
CSCO,42,0000858877
MTCH,42,0000891103
CVS,42,0000064803
GD,42,0000040533
AVY,42,0000008818
DOC,42,0000765880
BR,42,0001383312
GDDY,41,0001609711
KO,42,0000021344
IVZ,42,0000914208
PARA,42,0000813828
AXP,42,0000004962
FI,42,0000798354
KEYS,42,0001601046
AVGO,29,0001730168
ISRG,42,0001035267
MTB,42,0000036270
VLTO,7,0001967680
ARE,42,0001035443
HAS,42,0000046080
EA,42,0000712515
CTRA,42,0000858470
ODFL,42,0000878927
EXC,42,0001109357
FDX,41,0001048911
NWSA,42,0001564708
CBOE,42,0001374310
MNST,42,0000865752
ZBRA,42,0000877212
TPR,42,0001116132
ES,42,0000072741
FANG,42,0001539838
ADSK,42,0000769397
SJM,41,0000091419
AMCR,25,0001748790
ETN,42,0001551182
XYL,42,0001524472
BMY,42,0000014272
EXE,42,0000895126
ITW,42,0000049826
DAL,42,0000027904
TSN,42,0000100493
CPRT,42,0000900075
MTD,42,0001037646
TSCO,42,0000916365
EG,42,0001095073
DAY,29,0001725057
NKE,42,0000320187
LH,42,0000920148
GWW,42,0000277135
CL,42,0000021665
PSA,42,0001393311
BDX,42,0000010795
BKNG,42,0001075531
ETR,42,0000065984
ATO,42,0000731802
CB,42,0000896159
PPG,42,0000079879
IP,42,0000051434
SWKS,42,0000004127
JBL,42,0000898293
BKR,32,0001701605
LULU,42,0001397187
ON,42,0001097864
OXY,42,0000797468
URI,42,0001067701
HOLX,42,0000859737
TECH,42,0000842023
ADBE,42,0000796343
J,42,0000052988
POOL,42,0000945841
EIX,42,0000827052
MLM,42,0000916076
C,42,0000831001
TRMB,40,0000864749
TT,42,0001466258
D,42,0000715957
TRGP,42,0001389170
DVA,42,0000927066
GNRC,42,0001474735
IEX,42,0000832101
ABNB,18,0001559720
V,42,0001403161
SRE,42,0001032208
AON,42,0000315293
MKTX,42,0001278021
EXPD,42,0000746515
VRTX,42,0000875320
LUV,42,0000092380
PNW,42,0000764622
RL,42,0001037038
GIS,41,0000040704
ECL,42,0000031462
ZBH,42,0001136869
EOG,42,0000821189
KIM,42,0000879101
CLX,42,0000021076
MCO,42,0001059556
COP,42,0001163165
ORLY,42,0000898173
DECK,42,0000910521
JPM,42,0000019617
GEV,5,0001996810
ROST,42,0000745732
K,42,0000055067
DVN,42,0001090012
RVTY,42,0000031791
PNC,42,0000713676
WRB,42,0000011544
AOS,42,0000091142
L,42,0000060086
TKO,7,0001973266
TDY,42,0001094285
NSC,42,0000702165
AES,42,0000874761
PKG,42,0000075677
EXPE,42,0001324424
HUM,42,0000049071
HST,42,0001070750
NVR,42,0000906163
STT,42,0000093751
CCI,42,0001051470
GEHC,10,0001932393
SCHW,42,0000316709
STZ,42,0000016918
MSCI,42,0001408198
GLW,42,0000024741
XRAY,41,0000818479
SIG,42,0000832988
FBIN,42,0001519751
CPRI,42,0001530721
TRIP,42,0001526520
PVH,42,0000078239
COTY,42,0001024305
NAVI,42,0001593538
SEDG,40,0001419612
ETSY,41,0001370637
FL,42,0000850209
FCPT,39,0001650132
UA,40,0001336917
NGVT,8,0001653477
ASIX,35,0001673985
ADNT,35,0001670541
YUMC,35,0001673358
AA,35,0001675149
GT,42,0000042582
FTI,34,0001681459
BHF,32,0001685040
NVT,29,0001720635
CHX,29,0001723089
GTX,27,0001735707
REZI,27,0001740332
KTB,25,0001760965
FMC,42,0000037785
VNT,19,0001786842
JEF,41,0000096223
AAL,42,0000006201
OGN,17,0001821825
MBC,10,0001941365
FTRE,8,0001965040
PHIN,8,0001968915
KLG,7,0001959348
PBI,42,0000078814
CMA,42,0000028412
WHR,42,0000106640
AMTM,3,0002011286
R,42,0000085961
XRX,24,0001770450
MUR,42,0000717423
VNO,42,0000899689
ALK,42,0000766421
NBR,42,0001163739
FLS,42,0000030625
HP,42,0000046765
DINO,13,0001915657
MAT,42,0000063276
DXC,33,0001688568
ATI,42,0001018963
VFC,41,0000103379
TFX,42,0000096943
TGNA,42,0000039899
LNC,42,0000059558
HRB,41,0000012659
RRC,42,0000315852
RHI,42,0000315213
THC,42,0000070318
JWN,41,0000072333
GAP,42,0000039911
LUMN,42,0000018926
LEG,42,0000058492
NWL,42,0000814453
BIO,42,0000012208
BBWI,42,0000701985
HOG,42,0000793952
UNM,42,0000005513
AN,42,0000350698
OI,42,0000812074
PRGO,41,0001585364
M,42,0000794367
KSS,42,0000885639
PDCO,41,0000891024
FOSL,42,0000883569
RIG,42,0001451505
BWA,42,0000908255
URBN,42,0000912615
MAC,42,0000912242
NKTR,42,0000906709
PENN,42,0000921738
AIV,42,0000922864
NOV,42,0001021860
ZION,42,0000109380
QRVO,42,0001604778
SLG,42,0001040971
AMG,42,0001004434
BBY,42,0000764478
SEE,42,0001012100
CNX,42,0001070412
ILMN,42,0001110803
FLR,42,0001124198
BFH,42,0001101215
AYI,42,0001144215
AAP,42,0001158449
GME,42,0001326380
GNW,42,0001276520
CE,42,0001306830
UAA,41,0001336917
TNL,42,0001361658
HBI,42,0001359841
WU,42,0001365135
IPGP,42,0001111928
DFS,42,0001393612
TDC,42,0000816761
